w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
60,0.5,8,3,12,Jaccard,5,1,9999,9999,4,9999
60,0.5,8,3,25,normal,43,7,9999,9999,3,12
60,0.5,8,3,25,Jaccard,22,3,9999,9999,2,7
60,0.5,8,5,4,normal,3,2,9999,48,9999,9999
60,0.5,8,5,4,Jaccard,3,2,9999,30,9999,9999
60,0.5,8,5,12,normal,9,1,9999,40,5,9999
60,0.5,8,5,12,Jaccard,5,1,9999,24,4,9999
60,0.5,8,5,25,normal,35,7,9999,9999,1,9999
60,0.5,8,5,25,Jaccard,24,2,9999,49,1,3
60,0.5,20,1,4,normal,3,2,9999,9999,20,9999
60,0.5,20,1,4,Jaccard,3,2,9999,9999,16,9999
60,0.5,20,1,12,normal,4,1,9999,9999,46,9999
60,0.5,20,1,12,Jaccard,3,1,9999,9999,20,9999
60,0.5,20,1,25,normal,3,9999,9999,9999,4,9999
60,0.5,20,1,25,Jaccard,2,9999,9999,9999,3,52
60,0.5,20,3,4,normal,3,2,13,35,38,9999
60,0.5,20,3,4,Jaccard,3,2,10,19,21,9999
60,0.5,20,3,12,normal,4,1,9999,9999,9999,9999
60,0.5,20,3,12,Jaccard,3,1,9999,9999,38,9999
60,0.5,20,3,25,normal,3,9999,9999,9999,4,9999
60,0.5,20,3,25,Jaccard,2,9999,9999,9999,3,9999
60,0.5,20,5,4,normal,3,2,9,25,56,9999
60,0.5,20,5,4,Jaccard,3,2,7,16,46,9999
60,0.5,20,5,12,normal,4,1,13,27,49,9999
60,0.5,20,5,12,Jaccard,3,1,8,15,25,9999
60,0.5,20,5,25,normal,3,9999,9999,9999,6,9999
60,0.5,20,5,25,Jaccard,2,9999,9999,9999,4,9999
60,2.0,4,1,4,normal,5,2,9999,9999,9,9999
60,2.0,4,1,4,Jaccard,4,2,9999,52,7,9999
60,2.0,4,1,12,normal,48,3,9999,9999,4,9999
60,2.0,4,1,12,Jaccard,26,2,9999,9999,3,9999
60,2.0,4,1,25,normal,9999,18,9999,9999,3,9
60,2.0,4,1,25,Jaccard,9999,7,9999,9999,2,3
60,2.0,4,3,4,normal,5,2,9999,9999,8,9999
60,2.0,4,3,4,Jaccard,4,2,45,9999,6,9999
60,2.0,4,3,12,normal,40,7,9999,9999,3,9999
60,2.0,4,3,12,Jaccard,26,3,9999,44,2,9999
60,2.0,4,3,25,normal,9999,12,9999,9999,3,4
60,2.0,4,3,25,Jaccard,9999,9,9999,9999,2,3
60,2.0,4,5,4,normal,8,2,6,30,9999,9999
60,2.0,4,5,4,Jaccard,6,2,5,15,31,9999
60,2.0,4,5,12,normal,38,1,32,9999,2,9999
60,2.0,4,5,12,Jaccard,22,1,18,9999,2,9999
60,2.0,4,5,25,normal,9999,10,9999,9999,2,4
60,2.0,4,5,25,Jaccard,9999,7,9999,54,1,3
60,2.0,8,1,4,normal,5,2,9999,9999,9999,9999
60,2.0,8,1,4,Jaccard,4,2,47,9999,9999,9999
60,2.0,8,1,12,normal,5,1,9999,9999,6,9999
60,2.0,8,1,12,Jaccard,4,1,9999,9999,5,9999
60,2.0,8,1,25,normal,42,9,9999,9999,3,16
60,2.0,8,1,25,Jaccard,24,3,9999,9999,2,8
60,2.0,8,3,4,normal,5,2,53,9999,9999,9999
60,2.0,8,3,4,Jaccard,4,2,32,9999,9999,9999
60,2.0,8,3,12,normal,11,1,9999,9999,5,9999
60,2.0,8,3,12,Jaccard,5,1,9999,9999,4,9999
60,2.0,8,3,25,normal,36,9,9999,9999,1,16
60,2.0,8,3,25,Jaccard,22,3,9999,9999,1,8
60,2.0,8,5,4,normal,3,2,9999,9999,9999,9999
60,2.0,8,5,4,Jaccard,3,2,9999,9999,9999,9999
60,2.0,8,5,12,normal,11,1,9999,9999,5,9999
60,2.0,8,5,12,Jaccard,5,1,9999,39,4,9999
60,2.0,8,5,25,normal,58,5,9999,9999,1,14
60,2.0,8,5,25,Jaccard,33,2,9999,41,1,8
60,2.0,20,1,4,normal,3,2,9999,9999,16,9999
60,2.0,20,1,4,Jaccard,3,2,9999,9999,12,9999
